11:22:20.746 [ApplicationImpl pooled thread 44] INFO  c.b.s.l.BrowserStackRunExtension - testng
11:22:20.746 [ApplicationImpl pooled thread 44] INFO  com.browserstack.sdk.utils.Helpers - null
11:22:20.747 [ApplicationImpl pooled thread 44] INFO  c.b.s.l.BrowserStackRunExtension - Agent path: null
11:23:51.256 [ApplicationImpl pooled thread 45] INFO  c.b.s.l.BrowserStackRunExtension - testng
11:23:51.256 [ApplicationImpl pooled thread 45] INFO  com.browserstack.sdk.utils.Helpers - null
11:23:51.257 [ApplicationImpl pooled thread 45] INFO  c.b.s.l.BrowserStackRunExtension - Agent path: null
11:23:54.324 [ApplicationImpl pooled thread 45] INFO  c.b.s.l.BrowserStackRunExtension - testng
11:23:54.324 [ApplicationImpl pooled thread 45] INFO  com.browserstack.sdk.utils.Helpers - null
11:23:54.325 [ApplicationImpl pooled thread 45] INFO  c.b.s.l.BrowserStackRunExtension - Agent path: null
11:29:42.652 [ApplicationImpl pooled thread 47] INFO  c.b.s.l.BrowserStackRunExtension - testng
11:29:42.652 [ApplicationImpl pooled thread 47] INFO  com.browserstack.sdk.utils.Helpers - null
11:29:42.653 [ApplicationImpl pooled thread 47] INFO  c.b.s.l.BrowserStackRunExtension - Agent path: null
10:24:50.306 [ApplicationImpl pooled thread 30] INFO  c.b.s.l.BrowserStackRunExtension - application
10:24:50.309 [ApplicationImpl pooled thread 30] INFO  com.browserstack.sdk.utils.Helpers - null
10:43:37.972 [ApplicationImpl pooled thread 34] INFO  c.b.s.l.BrowserStackRunExtension - testng
10:43:37.972 [ApplicationImpl pooled thread 34] INFO  com.browserstack.sdk.utils.Helpers - null
10:43:37.974 [ApplicationImpl pooled thread 34] INFO  c.b.s.l.BrowserStackRunExtension - Agent path: null
10:46:06.952 [ApplicationImpl pooled thread 32] INFO  c.b.s.l.BrowserStackRunExtension - testng
10:46:06.952 [ApplicationImpl pooled thread 32] INFO  com.browserstack.sdk.utils.Helpers - null
10:46:06.953 [ApplicationImpl pooled thread 32] INFO  c.b.s.l.BrowserStackRunExtension - Agent path: null
22:24:23.471 [ApplicationImpl pooled thread 51] INFO  c.b.s.l.BrowserStackRunExtension - testng
22:24:23.475 [ApplicationImpl pooled thread 51] INFO  com.browserstack.sdk.utils.Helpers - null
22:24:23.476 [ApplicationImpl pooled thread 51] INFO  c.b.s.l.BrowserStackRunExtension - Agent path: null
22:24:38.709 [ApplicationImpl pooled thread 39] INFO  c.b.s.l.BrowserStackRunExtension - testng
